driver_id,driver_name,vehicle_type,license_plate,join_date,city,status
DRV-00001,Ajiono Saefullah,GoRide,L 4657 POI,2025-01-07,Surabaya,Active
DRV-00002,Murti Palastri,GoRide,B 9935 FLB,2025-06-07,Jakarta,Active
DRV-00003,Bakiman Pratama,GoRide,B 4582 OGM,2022-06-08,Jakarta,Active
DRV-00004,Sutan Nasrullah Yulianti,GoCar,B 9928 SIA,2022-05-31,Jakarta,Active
DRV-00005,Rini Setiawan,GoRide,D 1106 ZAW,2023-03-28,Bandung,Active
DRV-00006,Nalar Anggraini,GoRide,BK 5552 VRJ,2025-09-22,Medan,Active
DRV-00007,"Tgk. Baktiono Iswahyudi, S.Sos",GoCar,B 2519 GWW,2023-03-20,Jakarta,Active
DRV-00008,Yani Gunawan,GoRide,B 5333 UDI,2024-11-12,Jakarta,Active
DRV-00009,Cindy Puspasari,GoCar,AB 7201 SON,2022-10-30,Yogyakarta,Active
DRV-00010,"dr. Ratih Nababan, S.Pt",GoRide,B 6925 CQO,2026-01-24,Jakarta,Active
DRV-00011,Cindy Pradipta,GoCar,L 4733 GYR,2025-08-02,Surabaya,Active
DRV-00012,"Rafid Utama, S.E.",GoCar,BK 2654 XWN,2024-03-24,Medan,Inactive
DRV-00013,Tira Zulaika,GoRide,B 3664 PEM,2025-02-24,Jakarta,Active
DRV-00014,Kasusra Prasasta,GoRide,B 2169 KDY,2024-12-31,Jakarta,Active
DRV-00015,"Malik Puspita, S.H.",GoRide,L 3677 RUX,2023-06-13,Surabaya,Active
DRV-00016,Dartono Firmansyah,GoRide,D 4598 ZUZ,2025-08-07,Bandung,Inactive
DRV-00017,Danuja Purnawati,GoCar,L 4752 TUN,2023-06-09,Surabaya,Active
DRV-00018,Lala Yuniar,GoCar,AB 2084 DJQ,2025-02-01,Yogyakarta,Active
DRV-00019,Panca Purwanti,GoCar,B 6155 IQV,2022-11-22,Jakarta,Inactive
DRV-00020,Restu Wacana,GoRide,B 8517 XOI,2024-10-14,Jakarta,Inactive
DRV-00021,Cornelia Hardiansyah,GoRide,B 9830 HJO,2024-06-19,Jakarta,Active
DRV-00022,"Ir. Indra Riyanti, S.Pt",GoRide,B 7543 YYM,2022-12-24,Jakarta,Inactive
DRV-00023,T. Kadir Anggriawan,GoCar,B 9085 RUH,2024-04-16,Jakarta,Active
DRV-00024,KH. Emas Yuniar,GoRide,B 3621 VHS,2025-03-14,Jakarta,Active
DRV-00025,Jaeman Adriansyah,GoRide,BK 7252 UUQ,2024-02-24,Medan,Active
DRV-00026,"R.M. Jono Kurniawan, S.Pd",GoRide,L 1188 OGM,2024-06-05,Surabaya,Active
DRV-00027,Hardi Marpaung,GoRide,L 5371 IXH,2023-02-22,Surabaya,Inactive
DRV-00028,Liman Sinaga,GoRide,BK 3591 FBH,2026-03-16,Medan,Active
DRV-00029,Yance Samosir,GoCar,D 5315 PDP,2026-04-02,Bandung,Inactive
DRV-00030,Puti Chelsea Laksita,GoCar,DK 2743 EWI,2026-01-12,Bali,Active
DRV-00031,Cagak Wahyuni,GoRide,AB 4258 EJK,2025-07-22,Yogyakarta,Active
DRV-00032,Drs. Indra Prabowo,GoCar,B 9689 IWU,2023-06-05,Jakarta,Active
DRV-00033,Nasab Saragih,GoRide,H 2832 ZQP,2025-03-26,Semarang,Active
DRV-00034,Padma Hartati,GoCar,H 6038 HPO,2023-11-21,Semarang,Active
DRV-00035,Ayu Rahmawati,GoRide,B 2290 JOL,2022-07-28,Jakarta,Active
DRV-00036,Bagus Usamah,GoRide,B 9727 DOE,2023-03-28,Jakarta,Active
DRV-00037,Satya Sitompul,GoRide,BK 3705 EGP,2026-02-24,Medan,Active
DRV-00038,"Jayeng Prabowo, M.Pd",GoCar,B 4470 IUK,2023-06-26,Jakarta,Active
DRV-00039,Hesti Kusmawati,GoCar,H 6107 ZAM,2024-10-01,Semarang,Active
DRV-00040,Maryanto Astuti,GoCar,B 9479 WBA,2022-09-13,Jakarta,Active
