user_id,user_name,registration_date,user_segment
USR-000001,Kajen Maryati,2024-05-25,Regular
USR-000002,Ir. Gawati Hassanah,2025-09-02,Regular
USR-000003,Malika Wastuti,2024-11-21,Regular
USR-000004,"Olivia Maryadi, S.I.Kom",2025-10-20,Regular
USR-000005,Ciaobella Sihombing,2023-05-28,Regular
USR-000006,Bambang Megantara,2025-01-25,Regular
USR-000007,Jasmin Hasanah,2024-10-12,VIP
USR-000008,drg. Gantar Kusmawati,2024-03-06,VIP
USR-000009,Tantri Hartati,2023-09-18,Regular
USR-000010,Eja Gunawan,2024-08-27,Regular
USR-000011,Samsul Siregar,2023-10-15,Regular
USR-000012,Murti Marbun,2026-01-20,VIP
USR-000013,R.M. Kusuma Manullang,2024-05-02,VIP
USR-000014,dr. Yusuf Hariyah,2024-09-15,Regular
USR-000015,"dr. Lasmono Nashiruddin, S.E.",2024-04-14,Regular
USR-000016,"Ian Widodo, S.Ked",2026-01-08,Regular
USR-000017,Ihsan Rahayu,2025-11-28,Regular
USR-000018,Agnes Prabowo,2025-02-15,Regular
USR-000019,Umi Haryanto,2024-03-04,VIP
USR-000020,Raharja Nasyiah,2025-10-02,Regular
USR-000021,Jane Napitupulu,2024-02-04,Regular
USR-000022,Eluh Winarsih,2025-03-30,Regular
USR-000023,Ir. Galar Riyanti,2025-05-19,Regular
USR-000024,drg. Rini Latupono,2024-12-13,VIP
USR-000025,Zulfa Haryanti,2024-10-11,VIP
USR-000026,Rahmat Wulandari,2025-12-04,Regular
USR-000027,Ir. Chelsea Wulandari,2024-07-25,VIP
USR-000028,Devi Permadi,2023-11-14,Regular
USR-000029,Cemplunk Wahyudin,2024-08-06,VIP
USR-000030,Kajen Wibisono,2026-04-01,Regular
USR-000031,R. Ratih Winarno,2025-01-28,Regular
USR-000032,Jinawi Usada,2025-02-05,VIP
USR-000033,"Septi Natsir, M.Pd",2025-08-01,VIP
USR-000034,Irma Mandala,2024-01-04,Regular
USR-000035,Zaenab Hartati,2024-02-04,VIP
USR-000036,Sakti Tamba,2025-12-07,VIP
USR-000037,Diana Nababan,2023-05-04,Regular
USR-000038,Dr. Martani Lailasari,2024-12-06,Regular
USR-000039,"Joko Agustina, M.M.",2025-01-14,Regular
USR-000040,Bakda Pratiwi,2025-05-18,Regular
USR-000041,"KH. Darmaji Siregar, S.Gz",2023-06-06,Regular
USR-000042,Kawaya Suwarno,2024-06-19,Regular
USR-000043,"drg. Karya Lailasari, M.Pd",2024-01-06,Regular
USR-000044,Kemal Latupono,2025-06-21,Regular
USR-000045,"Dr. Ridwan Utama, M.Pd",2024-06-09,Regular
USR-000046,"H. Irnanto Palastri, S.Kom",2023-06-23,Regular
USR-000047,Oman Yolanda,2025-02-08,Regular
USR-000048,Ami Hartati,2024-05-08,Regular
USR-000049,Zelda Irawan,2024-06-01,Regular
