driver_id,driver_name,vehicle_type,license_plate,join_date,city,status
DRV-00001,Citra Santoso,GoRide,L 5012 DC,2018-12-23,Surabaya,Active
DRV-00002,Andi Hidayat,GoRide,L 1434 DG,2021-02-13,Surabaya,Active
DRV-00003,Xena Putra,GoCar,AB 4527 FB,2019-02-01,Yogyakarta,Active
DRV-00004,Pandu Sugiarto,GoRide,H 9785 BG,2021-04-15,Semarang,Active
DRV-00005,Oki Pratama,GoRide,,2021-03-31,Medan,Inactive
DRV-00006,Usman Kusuma,GoCar,AB 6977 CF,2020-12-29,Yogyakarta,Active
DRV-00007,Citra Rahayu,GoRide,D 7216 ED,2018-08-18,Bandung,Active
DRV-00008,Indah Saputra,GoCar,AB 6155 DH,2023-02-23,Yogyakarta,Active
DRV-00009,Fitri Wijaya,GoCar,H 7543 FD,2019-07-21,Semarang,Active
DRV-00010,Lestari Santoso,GoRide,L 7916 BG,2023-04-02,Surabaya,Active
DRV-00011,Yanti Wibowo,GoCar,L 6573 BE,2023-02-02,Surabaya,Active
DRV-00012,Jaya Santoso,GoRide,D 5889 DC,2019-10-24,Bandung,Active
DRV-00013,Putri Setiawan,GoCar,,2021-06-13,Makassar,Active
DRV-00014,Oscar Halim,GoRide,L 2133 CC,2019-11-08,Surabaya,Active
DRV-00015,Oki Kusuma,GoRide,BK 7537 FH,2023-01-24,Medan,Active
DRV-00016,Citra Rahayu,GoRide,DD 4770 DA,2018-08-30,Makassar,Active
DRV-00017,Gunawan Halim,GoRide,L 8953 DC,2023-04-21,Surabaya,Active
DRV-00018,Surya Pratama,GoRide,BK 8062 FG,2018-08-10,Medan,Active
DRV-00019,Lina Wibowo,GoCar,B 2790 DD,2023-01-12,Jakarta,Active
DRV-00020,Aditya Saputra,GoRide,BG 2235 HB,2018-03-02,Palembang,Inactive
DRV-00021,Reza Saputro,GoCar,D 4502 GA,2018-01-09,Bandung,Inactive
DRV-00022,Krisna Wijaya,GoCar,H 8973 CD,2018-08-28,Semarang,Active
DRV-00023,Eko Putra,GoRide,DD 8811 CA,2018-11-25,Makassar,Inactive
DRV-00024,Reza Nugroho,GoRide,L 5033 AB,2023-11-12,Surabaya,Active
DRV-00025,Pandu Setiawan,GoRide,DD 3144 EH,2018-10-25,Makassar,Active
DRV-00026,Yogi Handoko,GoRide,L 9288 EC,2018-10-09,Surabaya,Inactive
DRV-00027,Indah Wibowo,GoCar,D 5956 AE,2019-03-01,Bandung,Inactive
DRV-00028,Ratna Wibowo,GoRide,L 3546 EE,2021-11-05,Surabaya,Active
DRV-00029,Indah Wibowo,GoCar,BG 1832 BG,2018-06-30,Palembang,Active
DRV-00030,Yogi Setiawan,GoCar,D 8007 AB,2019-09-03,Bandung,Active
DRV-00031,Tari Pratama,GoCar,D 6050 FA,2020-05-10,Bandung,Active
DRV-00032,Budi Hidayat,GoCar,DD 3532 DC,2019-12-27,Makassar,Inactive
DRV-00033,Citra Gunawan,GoCar,DD 5065 EC,2019-03-19,Makassar,Active
DRV-00034,Tari Nugroho,GoRide,BK 8541 FE,2020-07-21,Medan,Active
DRV-00035,Krisna Rahayu,GoCar,AB 2137 EF,2022-06-26,Yogyakarta,Active
DRV-00036,Vika Halim,GoRide,B 5279 CE,2022-11-15,Jakarta,Active
DRV-00037,Krisna Nugroho,GoCar,L 4114 EA,2018-01-07,Surabaya,Active
DRV-00038,Tari Halim,GoCar,DD 6409 FB,2021-05-15,Makassar,Active
DRV-00039,Lina Putra,GoCar,DD 3085 DG,2022-04-02,Makassar,Active
DRV-00040,Dian Nugroho,GoCar,H 1006 EE,2021-08-12,Semarang,Active
DRV-00041,Oki Nugroho,GoRide,BG 5649 FB,2020-08-20,Palembang,Active
DRV-00042,Ratna Setiawan,GoRide,,2018-10-26,Bandung,Active
DRV-00043,Oki Hidayat,GoCar,BK 4997 CA,2019-03-13,Medan,Active
DRV-00044,Oscar Rahayu,GoRide,BG 2988 HC,2023-12-16,Palembang,Inactive
DRV-00045,Aditya Saputra,GoCar,BG 9976 HC,2023-04-29,Palembang,Active
DRV-00046,Vika Kurniawan,GoCar,H 5499 HB,2020-08-18,Semarang,Active
DRV-00047,Fauzi Halim,GoRide,L 7275 CD,2022-07-28,Surabaya,Active
DRV-00048,Zahra Halim,GoRide,B 7381 AG,2021-12-11,Jakarta,Active
DRV-00049,Fauzi Suwandi,GoCar,BK 8140 HA,2022-07-15,Medan,Active
DRV-00050,Reza Permata,GoCar,B 1444 BG,2023-03-07,Jakarta,Active
DRV-00051,Fitri Gunawan,GoRide,DD 6529 GE,2022-09-23,Makassar,Active
DRV-00052,Putri Nugroho,GoRide,B 6733 DB,2018-06-14,Jakarta,Active
DRV-00053,Kartika Putra,GoRide,B 8758 BD,2020-11-15,Jakarta,Active
DRV-00054,Wendi Nugroho,GoRide,L 2771 AE,2022-03-18,Surabaya,Active
DRV-00055,Eko Wahyudi,GoRide,L 5941 BA,2022-10-21,Surabaya,Active
DRV-00056,Cahaya Hidayat,GoRide,DD 9031 BG,2023-02-27,Makassar,Active
DRV-00057,Dian Saputra,GoCar,H 5397 FD,2018-12-21,Semarang,Active
DRV-00058,Wahyu Wibowo,GoCar,BG 9098 FC,2021-12-24,Palembang,Active
DRV-00059,Putri Gunawan,GoRide,H 4130 BD,2023-06-25,Semarang,Active
DRV-00060,Niko Sugiarto,GoCar,BG 2524 ED,2020-09-23,Palembang,Active
DRV-00061,Yanti Nugroho,GoCar,BG 6419 FH,2020-10-26,Palembang,Active
DRV-00062,Aditya Wahyudi,GoRide,DD 4033 DD,2021-02-06,Makassar,Active
DRV-00063,Indah Wibowo,GoRide,H 5853 DF,2018-02-27,Semarang,Active
DRV-00064,Dian Rahayu,GoRide,B 3068 HB,2021-03-10,Jakarta,Active
DRV-00065,Usman Wijaya,GoRide,D 8827 BB,2018-10-31,Bandung,Active
DRV-00066,Pandu Saputra,GoRide,D 5978 BD,2022-09-01,Bandung,Active
DRV-00067,Zulfa Pratama,GoCar,AB 5871 GE,2018-09-04,Yogyakarta,Active
DRV-00068,Bambang Saputro,GoRide,BK 2330 CD,2018-11-04,Medan,Active
DRV-00069,Fauzi Kusuma,GoCar,,2021-03-04,Palembang,Active
DRV-00070,Joko Kusuma,GoCar,BK 4241 GB,2019-09-03,Medan,Inactive
DRV-00071,Sari Wahyudi,GoRide,B 5728 HB,2021-05-30,Jakarta,Active
DRV-00072,Usman Setiawan,GoCar,BG 1653 GF,2018-04-16,Palembang,Active
