user_id,user_name,registration_date,user_segment
USR-00001,Wendi Wahyudi,2019-05-30,Regular
USR-00002,Usman Putra,2022-06-27,VIP
USR-00003,Citra Pratama,2022-09-27,Regular
USR-00004,Aditya Handoko,2022-07-03,Regular
USR-00005,Made Handoko,2021-05-09,Regular
USR-00006,Tari Pratama,2022-07-31,Regular
USR-00007,Andi Putra,2020-10-07,Regular
USR-00008,Xena Kurniawan,2020-02-24,Regular
USR-00009,Tono Setiawan,2020-08-02,VIP
USR-00010,Wahyu Kurniawan,2019-10-19,Regular
USR-00011,Usman Wijaya,2020-06-16,Regular
USR-00012,Agus Hidayat,2019-08-09,Regular
USR-00013,Ulfa Rahayu,2024-01-01,Regular
USR-00014,Aditya Saputro,2024-12-25,Regular
USR-00015,Vera Saputro,2020-01-16,VIP
USR-00016,Wendi Saputro,2022-06-25,Regular
USR-00017,Pandu Wibowo,2021-07-05,Regular
USR-00018,Tari Rahayu,2023-05-25,Regular
USR-00019,Budi Kusuma,2022-08-23,Regular
USR-00020,Kartika Handoko,2022-12-10,Regular
USR-00021,Agus Pratama,2020-06-05,Regular
USR-00022,Krisna Saputro,2019-10-18,Regular
USR-00023,Putri Kurniawan,2023-08-21,Regular
USR-00024,Wahyu Nugroho,2024-05-29,Regular
USR-00025,Cahaya Setiawan,2023-11-01,Regular
USR-00026,Tari Kusuma,2021-08-25,Regular
USR-00027,Oscar Saputro,2024-06-16,Regular
USR-00028,Lina Handoko,2020-02-04,VIP
USR-00029,Usman Putra,2019-10-13,Regular
USR-00030,Surya Wijaya,2023-04-02,Regular
USR-00031,Aditya Santoso,2020-07-23,VIP
USR-00032,Tono Permata,2020-09-03,Regular
USR-00033,Usman Rahayu,2024-01-06,Regular
USR-00034,Cahaya Sugiarto,2022-06-01,VIP
USR-00035,Irfan Permata,2019-02-03,Regular
USR-00036,Lestari Wijaya,2022-04-19,Regular
USR-00037,Xena Pratama,,Regular
USR-00038,Vera Setiawan,2019-05-08,Regular
USR-00039,Agus Permata,2022-07-27,Regular
USR-00040,Gunawan Suwandi,2021-05-15,Regular
USR-00041,Yogi Halim,2023-04-25,VIP
USR-00042,Eko Santoso,2020-05-29,Regular
USR-00043,Indah Kusuma,2024-06-16,Regular
USR-00044,Vera Putra,2023-08-31,VIP
USR-00045,Cahaya Kurniawan,2021-01-06,Regular
USR-00046,Lina Halim,2023-04-25,Regular
USR-00047,Putri Wahyudi,2024-08-02,VIP
USR-00048,Citra Setiawan,2023-02-12,Regular
USR-00049,Gunawan Kusuma,2023-02-18,Regular
USR-00050,Aditya Wibowo,2024-11-26,VIP
USR-00051,Pandu Kusuma,2019-11-17,Regular
USR-00052,Krisna Setiawan,2019-11-16,Regular
USR-00053,Krisna Santoso,2019-08-05,VIP
USR-00054,Mulia Rahayu,2024-09-30,VIP
USR-00055,Citra Putra,2022-04-21,Regular
USR-00056,Gunawan Setiawan,2021-12-02,Regular
USR-00057,Tono Putra,2019-07-31,Regular
USR-00058,Irfan Kusuma,2024-06-08,Regular
USR-00059,Pandu Wibowo,2022-02-12,Regular
USR-00060,Hendra Putra,2021-11-18,Regular
USR-00061,Yogi Hidayat,2020-09-11,Regular
USR-00062,Jaya Wijaya,2021-08-25,Regular
USR-00063,Oscar Suwandi,2019-12-12,VIP
USR-00064,Putri Saputro,2023-08-19,Regular
USR-00065,Yanti Sugiarto,2020-11-16,Regular
USR-00066,Hendra Wijaya,2021-12-18,Regular
USR-00067,Gunawan Kurniawan,2023-06-22,Regular
USR-00068,Joko Wahyudi,2023-05-17,Regular
USR-00069,Dian Permata,2019-02-18,Regular
USR-00070,Citra Pratama,2024-12-11,Regular
USR-00071,Cahaya Putra,2022-12-20,VIP
USR-00072,Sari Pratama,2022-01-21,Regular
USR-00073,Usman Saputra,2023-05-22,Regular
USR-00074,Usman Hidayat,2021-03-09,Regular
USR-00075,Eko Santoso,2019-02-13,Regular
USR-00076,Dian Sugiarto,2024-11-21,Regular
USR-00077,Citra Santoso,2022-03-06,Regular
USR-00078,Tari Nugroho,2019-08-21,VIP
USR-00079,Hendra Kusuma,2020-05-13,Regular
USR-00080,Aditya Setiawan,2020-06-16,Regular
USR-00081,Vera Hidayat,2021-01-26,VIP
USR-00082,Eko Saputro,2024-03-27,Regular
USR-00083,Vera Rahayu,2022-02-06,Regular
USR-00084,Dewi Permata,2019-10-31,Regular
USR-00085,Reza Hidayat,2019-09-04,Regular
USR-00086,Made Putra,2024-07-07,VIP
USR-00087,Krisna Halim,2024-07-08,Regular
USR-00088,Wendi Wibowo,2020-03-11,VIP
USR-00089,Yanti Wibowo,2019-10-26,Regular
USR-00090,Joko Santoso,2019-03-18,VIP
USR-00091,Vera Rahayu,2023-05-19,Regular
USR-00092,Hadi Gunawan,2019-01-16,Regular
USR-00093,Andi Permata,2019-10-15,Regular
USR-00094,Krisna Sugiarto,2024-05-28,Regular
